company_id,detailsId,period,status,message
5742245,,2023,SKIP,parse_company_year_json returned None
5742245,,2024,SKIP,parse_company_year_json returned None
2289609,,2022,OK,
2289609,,2023,OK,
2289609,,2024,OK,
1553296,,2022,OK,
1553296,,2023,SKIP,parse_company_year_json returned None
1553296,,2024,SKIP,parse_company_year_json returned None
8955246,,2022,OK,
8955246,,2023,OK,
8955246,,2024,OK,
2048558,,2022,OK,
2048558,,2023,OK,
2048558,,2024,OK,
1088246,,2022,OK,
1088246,,2023,OK,
1088246,,2024,OK,
1232733,,2022,OK,
1232733,,2023,OK,
1232733,,2024,OK,
11516640,,2022,OK,
11516640,,2023,OK,
11516640,,2024,OK,
10255356,,2022,SKIP,parse_company_year_json returned None
10255356,,2023,SKIP,parse_company_year_json returned None
10255356,,2024,SKIP,parse_company_year_json returned None
890734,,2022,OK,
890734,,2023,OK,
890734,,2024,OK,
11506766,,2022,OK,
11506766,,2023,OK,
11506766,,2024,OK,
9025711,,2022,OK,
9025711,,2023,OK,
9025711,,2024,OK,
11764181,,2022,OK,
11764181,,2023,OK,
11764181,,2024,OK,
11444275,,2022,OK,
11444275,,2023,OK,
11444275,,2024,OK,
10949645,,2022,OK,
10949645,,2023,OK,
10949645,,2024,OK,
11840698,,2022,OK,
11840698,,2023,OK,
11840698,,2024,OK,
9768767,,2022,OK,
9768767,,2023,OK,
9768767,,2024,OK,
11367159,,2022,OK,
11367159,,2023,OK,
11367159,,2024,OK,
10762223,,2022,OK,
10762223,,2023,OK,
10762223,,2024,OK,
11436980,,2022,OK,
11436980,,2023,SKIP,parse_company_year_json returned None
11436980,,2024,SKIP,parse_company_year_json returned None
6164689,,2022,OK,
6164689,,2023,OK,
6164689,,2024,OK,
11113421,,2022,OK,
11113421,,2023,OK,
11113421,,2024,OK,
11521712,,2022,SKIP,parse_company_year_json returned None
11521712,,2023,SKIP,parse_company_year_json returned None
11521712,,2024,SKIP,parse_company_year_json returned None
8143971,,2022,OK,
8143971,,2023,OK,
8143971,,2024,OK,
3919472,,2022,OK,
3919472,,2023,OK,
3919472,,2024,SKIP,parse_company_year_json returned None
11041711,,2022,SKIP,parse_company_year_json returned None
11041711,,2023,SKIP,parse_company_year_json returned None
11041711,,2024,OK,
10996948,,2022,OK,
10996948,,2023,OK,
10996948,,2024,OK,
128628,,2022,OK,
128628,,2023,OK,
128628,,2024,OK,
5268967,,2022,OK,
5268967,,2023,OK,
5268967,,2024,OK,
9541409,,2022,SKIP,parse_company_year_json returned None
9541409,,2023,SKIP,parse_company_year_json returned None
9541409,,2024,SKIP,parse_company_year_json returned None
9595359,,2022,OK,
9595359,,2023,OK,
9595359,,2024,OK,
6460911,,2022,SKIP,parse_company_year_json returned None
6460911,,2023,SKIP,parse_company_year_json returned None
